"","Shannon","Shannon.se","Inv.simpson","Inv.simpson.se","BP","BP.se"
"ShivSClk1S12",2.141136,0.0677086654018228,4.204315,0.132952114008108,0.399517,0.0126338368395749
"ShivSClk2S15",4.181698,0.132236901669708,21.331117,0.674549147555379,0.177505,0.00561320096068188
"ShivSClk3S16",3.590879,0.113553564420678,10.520196,0.332677807913927,0.283067,0.00895136450430883
"ShivSClk4S17",4.034174,0.127571783174321,24.298276,0.768378953754055,0.134975,0.00426828427181227
"ShivSClk5S18",3.176354,0.100445132949865,8.791674,0.278017142856832,0.299025,0.0094560007733185
"ShivSLimek1S13",3.171357,0.100287113935186,13.018205,0.411671788469923,0.176267,0.005574051963249
"ShivSLimek2S14",4.025866,0.127309061146314,17.277092,0.546349620642738,0.204226,0.00645819317425547
"ShivSLimek3S19",2.662665,0.0842008604601224,6.877735,0.217493077430582,0.288082,0.00910995272896627
"ShivSLimek4S20",2.990179,0.0945577625160462,8.094179,0.25596041429104,0.254047,0.00803367152732796
"ShivSLimek5S21",2.903912,0.0918297604469488,6.40187,0.202444904843021,0.366761,0.0115980011692101
"ShivSLimek6S25",3.694125,0.116818489613695,22.356225,0.706965908831978,0.106494,0.00336763597141971
"SlpClk1S3",4.013136,0.126906503200175,21.027999,0.66496371475743,0.169265,0.00535262928148401
"SlpClk2S4",3.373174,0.106669127840608,10.813909,0.341965828497938,0.25431,0.0080419883175742
"SlpClk3S5",3.471084,0.109765313897679,14.694628,0.464684938488848,0.181593,0.00574247487142957
"SlpClk4S6",3.658886,0.115704134589028,19.073532,0.603158041441067,0.140641,0.00444745892403741
"SlpClk5S7",3.476291,0.109929973695444,18.130473,0.57333589736186,0.124773,0.00394566870492189
"SlpClk6S8",3.926347,0.124161994041691,23.332987,0.737853835350992,0.147669,0.00466970379799404
"SlpClk7S9",3.504721,0.11082900923423,15.35962,0.485713831946754,0.183215,0.0057937670150775
"SlpClk8S10",3.784722,0.119683418305478,22.396947,0.708253651540752,0.116169,0.003673586335041
"SlpClk9S11",2.866,0.0906308777404258,6.951,0.219809920158304,0.311,0.00983468352312366
"SlpLime1S1",3.782611,0.119616662624072,28.554993,0.902988164501645,0.079772,0.00252261213506952
"SlpLime2S2",4.060759,0.128412474690277,32.610639,1.03123895193516,0.067539,0.00213577070890112
"SlpLime3S22",3.80212,0.120233591372794,19.031063,0.60181505374157,0.137003,0.00433241526276049
"SlpLime4S23",3.600835,0.113868400784524,15.771117,0.498726509650018,0.170628,0.0053957311259921
"SlpLime5S24",4.260774,0.134737504352263,39.090899,1.23616276623598,0.083963,0.00265514319180718
